id,text,cleaned_text,token_count,stock_mentions,vader_label,textblob_label,lexicon_label,sentiment_label,vader_score,textblob_score,lexicon_score,combined_sentiment_score,positive_words,negative_words
1,Apple's stock has been outperforming the market since the announcement of their new AI initiatives.,apple is stock has been outperforming the market since the announcement of their new ai initiatives,7,AI,neutral,positive,neutral,neutral,0.0,0.13636363636363635,0.0,0.0409090909090909,,
2,AAPL faces headwinds as iPhone sales decline in China market by 4% year-over-year.,aapl faces headwinds as iphone sales decline in china market by year over year,9,AAPL,negative,neutral,negative,negative,-0.15,0.0,-1.0,-0.36,,decline
3,Investors remain bullish on $AAPL following the release of their latest financial results.,investors remain bullish on aapl following the release of their latest financial results,7,AAPL,positive,positive,positive,positive,0.24,0.16666666666666666,1.0,0.44599999999999995,bullish,
4,"The new MacBook Pro's performance is impressive, but the high price point may limit adoption.",the new macbook pro is performance is impressive but the high price point may limit adoption,10,,positive,positive,neutral,positive,0.19922,0.4321212121212121,0.0,0.20932436363636361,,
5,"Apple's services division continues to show strong growth, offsetting weakness in hardware sales.",apple is services division continues to show strong growth offsetting weakness in hardware sales,11,,positive,positive,positive,positive,0.33369,0.43333333333333335,1.0,0.5634760000000001,"strong, growth",
6,Concerns about Apple's supply chain issues in Asia could impact future quarter earnings.,concerns about apple is supply chain issues in asia could impact future quarter earnings,11,,neutral,neutral,negative,negative,0.0,0.0,-1.0,-0.3,,concerns
7,Analysts at Goldman Sachs upgraded $AAPL to 'buy' with a price target of $250.,analysts at goldman sachs upgraded aapl to 'buy' with a price target of,7,AAPL,positive,neutral,neutral,positive,0.21,0.0,0.0,0.084,,
8,"Competition in the wearables market is intensifying, which could pressure Apple Watch sales.",competition in the wearables market is intensifying which could pressure apple watch sales,8,,negative,neutral,neutral,negative,-0.20719999999999997,0.0,0.0,-0.08288,,
9,Apple's cash reserves provide a strong buffer against market volatility.,apple is cash reserves provide a strong buffer against market volatility,7,,positive,positive,positive,positive,0.35742,0.43333333333333335,1.0,0.5729679999999999,strong,
10,The antitrust investigation into App Store practices poses regulatory risks for Apple.,the antitrust investigation into app store practices poses regulatory risks for apple,9,,negative,neutral,negative,negative,-0.19124,0.0,-1.0,-0.376496,,risks
